ElementID,EnterpriseNo,FieldType,DataType
6257,9,bgp_community,unsigned32
6258,9,bgp_prepend,unsigned8
6259,9,entrance_downgrade,unsigned8
6260,9,discard_rollup_count,unsigned32
6261,9,services_pfr_class_tag_id,unsigned32
6262,9,services_pfr_mc_id,unsigned32
7232,9,USER_ID,octetArray
7233,9,translatedSrcAddr,unsigned32
7234,9,translatedDstAddr,unsigned32
7235,9,translatedSrcPort,unsigned16
7236,9,translatedDstPort,unsigned16
7237,9,fwEvent,unsigned16
8232,9,policy_qos_classification_hierarchy,octetArray
8233,9,c3pl_class_cce_id,unsigned32
8234,9,c3pl_class_name,octetArray
8235,9,c3pl_class_type,octetArray
8236,9,c3pl_policy_cce_id,unsigned32
8237,9,c3pl_policy_name,octetArray
8238,9,c3pl_policy_type,octetArray
8332,9,DCMdataGroupName,octetArray
8333,9,interface_input_fex_node_id,octetArray
8334,9,interface_output_fex_node_id,octetArray
8335,9,interface_power,unsigned32
8336,9,monitor_device_type,unsigned32
8337,9,conn_server_cnt_bytes_network_long,unsigned64
8338,9,conn_client_cnt_bytes_network_long,unsigned64
8339,9,wireless_afd_drop_pkt,unsigned32
8340,9,wireless_afd_accept_pkt,unsigned32
8341,9,wireless_afd_drop_bytes,unsigned64
8342,9,wireless_afd_accept_bytes,unsigned64
9233,9,namDataSrc,unsigned32
9234,9,srcSite,unsigned32
9235,9,dstSite,unsigned32
9236,9,serverSite,unsigned32
9237,9,clientSite,unsigned32
9238,9,siteID,unsigned32
9239,9,serverIPv4Address,ipv4Address
9240,9,clientIPv4Address,ipv4Address
9242,9,netEncap,unsigned32
9243,9,serverIPv6Address,ipv6Address
9244,9,clientIPv6Address,ipv6Address
9245,9,namSrcDeviceId,unsigned32
9246,9,namSrcDeviceIPv4Address,ipv4Address
9247,9,namSrcDeviceIPv6Address,ipv6Address
9248,9,siteName,octetArray
9249,9,siteDescription,octetArray
9250,9,conn_concurrent_conns,string
9251,9,app_transaction_cnt_new,string
9252,9,waas_optimization_segment,unsigned8
9252,9,services_waas_segment,unsigned8
9253,9,services_waas_passthrough_reason,unsigned8
9265,9,initiatorPackets,unsigned64
9266,9,responderPackets,unsigned64
9267,9,conn_client_cnt_bytes_retransmit,unsigned32
9268,9,conn_client_cnt_pkts_retransmit,unsigned32
9272,9,conn_transaction_cnt_complete,unsigned32
9273,9,conn_transaction_duration_sum,unsigned32
9274,9,conn_transaction_duration_max,dateTimeMilliseconds
9275,9,conn_transaction_duration_min,dateTimeMilliseconds
9276,9,sumDataTransmissionTime,dateTimeMilliseconds
9277,9,sumDataRetransmissionTime,dateTimeMilliseconds
9282,9,art_count_new_conns,unsigned32
9283,9,completedConnectionsCountDelta,unsigned32
